Card Name,Card Number,Qty,Link,Est Value
Parasect,35/64,,,
Paras ,47/64,,,
Oddish,68/111,3,,
Erika's Oddish,78/132,1,,
Paras,59/64,,,
Erika's Paras,71/132,,,
Oddish,58/64,1,,
Gloom,37/64,1,,
Dark Gloom,36/82,1,,
Vileplume,31/64,,,
Bulbasaur,84/102,,,
Golbat,29/64,2,,
Ivysaur,30/102,,,
Crobat,No. 169,,,
Caterpie,45/102,,,
Metapod,54/102,2,,
Zubat ,70/82,,,
Butterfree,33/64,,,
Zubat ,57/62,,,
Kakuna,33/102,,,
Koga's Zubat,83/132,,,
Zubat ,59/64,3,,
Beedrill,17/102,,,
Nidoran,55/102,,,
Ariados,27/111,1,,
Nidoran,57/64,,,
spinarak,75/111,,,
Beedrill,18/75,,,
Venonat,63/64,,,
Bellsprout,49/64,3,,
Nidorino,56/110,,,
Erica's Victreebel,26/132,,,
Nidorina,40/64,,,
Weepinbell,48/64,,,
Nidoran boy,55/102,,,
Nidoran girl,,,,
