Card Name,Card Number,Qty,Link
Parasect,35/64,,
Paras ,47/64,,
Oddish,68/111,3,
Erika's Oddish,78/132,1,
Paras,59/64,,
Erika's Paras,71/132,,
Oddish,58/64,1,
Gloom,37/64,1,
Dark Gloom,36/82,1,
Vileplume,31/64,,
Bulbasaur,84/102,,
Golbat,29/64,2,
Ivysaur,30/102,,
Crobat,No. 169,,
Caterpie,45/102,,
Metapod,54/102,2,
Zubat ,70/82,,
Butterfree,33/64,,
Zubat ,57/62,,
Kakuna,33/102,,
Koga's Zubat,83/132,,
Zubat ,59/64,3,
Beedrill,17/102,,
Nidoran,55/102,,
Ariados,27/111,1,
Nidoran,57/64,,
spinarak,75/111,,
Beedrill,18/75,,
Venonat,63/64,,
Bellsprout,49/64,3,
Nidorino,56/110,,
Erica's Victreebel,26/132,,
Nidorina,40/64,,
Weepinbell,48/64,,
Nidoran boy,55/102,,
Nidoran girl,57/64,,
Light Sunflora,72/105,,
Scyther,46/75,,
Sunkern,83/105,,
Kakuna ,33/102,,
Koga's Kakuna,47/132,,
Muk,13/62,,
Beedrill,17/102,,
Beedrill,18/75,,
Grimer,48/62,,
Magikarp,35/102,,
Skiploom,52/64,,
Skiploom,49/111,,
Starmie,25/64,,
Jumpluff,9/64,,
Staryu,56/64,3,
Staryu,no. 120,1,
Chikorita,54/111,,
Bayleef,No. 153,,
Marill,66/111,,
Mantine,74/105,,
Qwilfish,49/64,,
Pineco,61/75,,
PINECO,77/105,,
Dark Exeggcutor,33/105,,
Misty's Seel,88/132,,
Erika's Exeggcute,43/132,,
Dewgong,25/102,3,
Politoed,8/75,,
Totodile,81/111,,
Wooper,71/75,,
Quagsire,48/64,,
Poliwrath,28/75,,
Squirtle,68/82,,
Squirtle,63/102,,
Poliwhirl,No. 061,,
Wartortle,42/102,,
Poliwag,62/75,,
psyduck,65/82,2,
Shellder,54/62,,
Cloyster,32/62,,
Golduck,35/62,,
Tentacool,56/62,2,
Gligar,67/105,,
Tentacruel,44/62,,
Sandshrew,91/130,,
goldeen,45/64,,
onix,56/102,2,
skarmory,23/64,2,
cubone,50/64,2,
Metal energy,19/111,,
Marowak,39/64,,
Seaking,46/64,,
Murkrow,No. 198,1,
Primeape,43/64,,
Sudowoodo,26/64,,
Diglett,47/102,6,
Mankey,61/82,,
mankey,55/64,,
Brock's Mankey,68/132,,
Rhydon,45/64,,
Machoke,34/102,2,
Machop,59/82,,
Machop,52/102,3,
Rhyhorn,61/64,2,
Hitmonlee,42/105,,
Hitmonchan,69/105,,
Piloswine,36/64,,
Hitmontop,3/75,,
Swinub,57/64,,
Typhlosion,No. 248,,
Brock's Geodude,68/132,,
Dark Pupitar,38/105,,
pupitar,45/75,,
larvitar,57/75,,
graveler,37/62,,
graveler,30/64,,
Magby,23/111,,
magnemite,60/82,,
magmar,40/111,2,
magcargo,33/64,,
slugma,53/64,,
Dark Rapidash,44/82,,
vulpix,98/110,2,
Ninetales,17/110,,
Aerodactyl,1/62,,
Mysterious Fossil,62/62,,
fossil egg,72/75,,
Growlithe,28/102,,
arcanine,23/102,,
Omastar,No. 138,,
Omastar,43/75,,
dark omastar,19/105,,
"
omanyte",52/62,,
Kabuto,50/62,,
Houndour,24/75,,
electrode,22/110,,
electrode,21/102,,
houndoom,no. 229,,
electabuzz,20/102,,
Dark Houndoom,7/105,,
lt. surge's voltorb,86/132,,
Pikachu,70/111,,
Mareep,75/105,,
charmander,46/102,,
Charmeleon,24/102,,
Chinchou,42/64,,
magneton,28/110,,
quilava,47/111,,
Zapdos,16/102,,
cyndaquil,56/111,,
cyndaquil,57/111,,
teddiursa,65/75,,
haunter,29/102,,
aipom,no. 190,,
gastly,50/102,,
Dark slowking,20/105,,
smoochum,64/64,,
slowbro,43/62,,
Light slowbro,51/105,,
Jynx,31/102,,
abra ,49/82,2,
abra ,43/102,,
Girafarig,58/111,,
Kadabra,32/102,,
drowzee,49/102,,
drowzee,73/110,,
Unknown A,33/75,,
Unknown K,58/64,,
Unknown B,39/64,,
Unknown L,86/105,2,
Unkown N,50/75,,
Unkown O,69/75,,
Unknown E,67/75,,
unknown S,87/105,,
Unknown Q,59/105,,
Unknown T,88/105,,
ho-oh,18/64,,
raticate,61/110,,
eevee,74/110,2,
lt surge's eevee,51/132,,
stantler,no. 234,,
jigglypuff ,54/64,,
potion energy,82/82,,
Dark Vaporeon,45/82,,
Fuschia City Gym,114/132,,
pokemon center,85/102,,
fearow,36/64,,
switch,95/102,2,
balloon berry,60/64,,
Espeon,20/75,,
counterattack claws,97/105,,
professor elm,96/111,,
rocket's hideout,63/64,,
card-flip game,92/111,,
farfetch'd,40/130,,
Light Flareon,46/105,,
Energy Search,59/62,,
Old Rod,64/64,,
Lt Surge's Secret Plan,107/132,,
pidgeotto,28/130,,
chansey,3/130,,
light jolteon,48/105,,
Energy retrieval,81/102,,
pokedex,87/102,3,
gust of wind,93/102,,
impostor oak's revenge,76/82,,
Energy Removal,92/102,,
Koga,106/132,,
Saffron City Gym,122/132,,
Super energy removal,79/102,,
Dratini,26/102,,
Dark Dragonite,22/82,,
Pokemon March,102/111,2,
Moo-Moo Milk,101/111,3,
Pokemon Breeder,76/102',,
Pokemon Breeder Fields,62/64,,
Pokemon trader,77/102,,
defender,80/102,,
Impostor Professor Oak,73/102,,
